id,CT,MinHar3
1517360597,+5*17*18*19*31*33,1.2809103481450304
1517366121,+5*17*18*25*25*30,1.2809103481450304
1541644700,+17*24*26*31/20/21,1.2809103481450304
1541678009,+17*25*26*28/12/21,1.2809103481450304
1541764402,+17*28*30*31/12/21,1.2809103481450304
1597044800,-14*17*24*26*32/21,1.2809103481450304
1599096716,-16*17*26*32/2/14,1.2809103481450304
1599113092,-16*17*30*32/2/21,1.2809103481450304
17282617,+5*24*25*25*31,1.2809103481450304
1517636511,+5*19*24*25*31*33,1.2809103481450304
1517647088,+5*19*25*30*31/14,1.2809103481450304
443529554,+24*31-3*21-9*25,1.2809103481450304
443491944,+24*31-1*17-4*22,1.2809103481450304
443503408,+24*31-2*4-8*22,1.2809103481450304
443529600,+24*31-3*21-11*22,1.2809103481450304
443544912,+24*31-4*21-12*28,1.2809103481450304
443545302,+24*31-4*22-9*13,1.2809103481450304
443546138,+24*31-4*24-5*8,1.2809103481450304
443478169,+24*31-0*27-21*21,1.2809103481450304
416579408,+17*30-3*27-9*25,1.2809103481450304
402419618,+15*24+24*31-3*27,1.2809103481450304
402763483,+15*25+24*31-4*25,1.2809103481450304
413338139,+17*20+25*26-12*25,1.2809103481450304
416637765,+17*30-8*16-9*25,1.2809103481450304
440288026,+23*29+24*31-4*24,1.2809103481450304
443394732,+24*30-13*31-14*21,1.2809103481450304
443397292,+24*30-14*21-16*34,1.2809103481450304
1514808075,+5*6*17*19*25*26,1.2809103481450304
1514808265,+5*6*17*19*30*31,1.2809103481450304
1514812974,+5*6*17*24*25*30,1.2809103481450304
1514827071,+5*6*18*24*26*31,1.2809103481450304
1517220507,+5*16*17*20*20*30,1.2809103481450304
1517218724,+5*16*17*18*30*31,1.2809103481450304
1516905134,+5*14*16*24*31*33,1.2809103481450304
1514845321,+5*6*19*31*31/14,1.2809103481450304
443603473,+24*31-9*25-22*22,1.2809103481450304
772160961,+5*20*20-5*5*12,1.2809103481450304
1102893846,+17*24*31-4*12*25,1.2809103481450304
1195088780,+24*31/14-24*34/4,1.2809103481450304
1311155854,-2*27*34-17*26*32,1.2809103481450304
1508873543,+3*17*20*31/12/21,1.2809103481450304
1514790580,+5*6*16*17*26*31,1.2809103481450304
1102008568,+17*23/1-16*32/2,1.2808460516803133
1603643134,-27*33*33*33/28/32,1.2807340021536733
907610763,+9*15/5+17*20/21,1.2805599050286551
443529575,+24*31-3*21-10*21,1.280526722616392
443388582,+24*30-12*28-14*21,1.280526722616392
1189013743,+24*24*31-3*4*12,1.280526722616392
416753233,+17*31+21*31-12*21,1.2800701420342082
1510469372,+4*5*24*25*31/14,1.2800693715485374
16937507,+5*6*17*18*26,1.280042551772138
1532381222,+10*24*24*28*33/1,1.279842505887479
1493096327,+1*1*3*26/16/31,1.2797346477862757
1198962741,+25*26/10-23*24/34,1.279438633943934
630987169,+2*15/5+16*17/21,1.2788063211619467
141984015,+20+33-3-21-22-22,1.2785764994240656
443498204,+24*31-1*28-3*21,1.2785764994240656
141286106,+20+26-3-22-22-27,1.2785764994240656
141738678,+20+30-3-9-21-22,1.2785764994240656
617791478,+2*7*29-9*12*12,1.2784019014482697
443569818,+24*31-6*17-21*22,1.2783446306548296
1541664543,+17*24*31*33/18/21,1.2781646203539452
918396914,+9*24*31-6*9*9,1.2779908526625288
443625718,+24*31-12*28-26*26,1.2779908526625288
1524502718,+7*20*20*24/1/33,1.2779908526625288
1505901098,+3*5*17*24*26/22,1.2776538109752178
1517205083,+5*16*16*20*31*31,1.2776004102168157
1517594675,+5*19*20*20*25*31,1.2776004102168157
443546321,+24*31-4*24-11*32,1.2771945592630622
1054974446,+14*32/22+25*26/10,1.277185917532653
100292075,+10+20-2-12-12-13,1.277138253905247
1543309360,+20*24*25*28/10/22,1.2767961022124503
853594671,+7*24/22+26*31/10,1.2767961022124503
910592109,+9*17/21+26*31/10,1.2767961022124503
1190413084,+24*25/22+30*31/10,1.2767961022124503
1209907876,+26*31/10-9*25/22,1.2767961022124503
220473398,+2*7+20*20-12*12,1.2767670772483604
442323477,+24*26-2*25-21*24,1.2764936028140106
567820379,+1*8*10-2*18*25,1.276117417523945
568859598,+1*8/18-21*21/7,1.276117417523945
869383778,+8*10/19-24*29/1,1.276117417523945
603740657,+1*31/8+20*25/10,1.2758631597590775
417013183,+17*31-24*28-24*34,1.2756533461711372
1517477341,+5*18*18*25*31/14,1.275387018565493
1025214817,+13*24/25+22*24/25,1.2753740746414726
1517490409,+5*18*19*25*26*31,1.2753681219323172
736821727,+4*24/21+15*27/32,1.275337088718182
1506964175,+3*8*16*28/5/12,1.274613575638227
602628087,+1*30/14-7*14/8,1.2741960102971197
1517539335,+5*18*24*25*33/2,1.2741790794993897
1517636481,+5*19*24*25*30/2,1.2741790794993897
777603669,+5*24*30-0*5*5,1.2741790794993897
1526907979,+8*16*18*18*28/5,1.274072439851522
1449015323,-12*34/17-31*32/1,1.2740539926881855
306785213,+6*24+8*20-6*12,1.2739903841242928
1399439648,-7*30/11-17*29/34,1.2739340132929209
1536875966,+13*16*24*31/12/21,1.2739156835964407
1498682083,+1*20*24*29/19/26,1.2732512383995394
1492076976,+0*16*17*30/15/21,1.2732372201992832
1507552478,+3*10*17*31/15/19,1.2732372201992832
1492214832,+0*17*18*26/15/21,1.2732372201992832
582333726,+1*16/25+25*30/10,1.2732156529133043
556085677,+1*1/10+13*31/8,1.2731902091758909
556090570,+1*1/10+22*26/8,1.2731902091758909
1153233833,+20*31/12-13*23/0,1.2730602112073444
1207047502,+26*27/21-9*25/34,1.273033960034863
208773321,+1*24+4*30-10*18,1.2728769553191697
1189868275,+24*25*30-3*14*21,1.2721285092817978
